[17:21:29] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:37] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:41] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:41] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:45] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:45] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:49] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:49] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:54] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:54] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:58] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:22:58] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:02] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:02] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:06] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:06] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:11] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:11] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:15] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:15] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:19] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:19] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:23] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:23] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:27] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:27] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:32] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:32] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:37] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:37] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:41] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:41] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:45] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:45] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:50] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:50] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:55] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:55] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:59] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:23:59] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:24:04] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:24:04] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:24:08] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:24:08] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:24:13] [STT] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
[17:24:13] [Kunde] Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen, Verhandlungen.
